"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
908,1674,TS89,89,121,POST_DEPENDENT,"27",0,value1 + value2 + value3,sum_xyz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
909,1675,TS90,90,163,POST_DEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
910,1676,TS91,91,319,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
911,1677,TS92,92,407,POST_DEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
912,1678,TS93,93,430,POST_DEPENDENT,"27",0,value1 - (value2 * value3),xminusymultiz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
913,1679,TS94,94,453,POST_DEPENDENT,"27",1,/* case when (value4) > 0 then */ (value1 + (value2 - value3)) / value4 /* else */ 0 /* end */ ,,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
914,1680,TS95,95,456,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
915,1681,TS96,96,464,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
916,1682,TS97,97,472,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
917,1683,TS98,98,480,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
918,1684,TS99,99,488,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
919,1685,TS100,100,496,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
920,1686,TS101,101,1,POST_INDEPENDENT,"63",1,value1+value2+value3+value4,sum_abcd,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
921,1687,TS102,102,12,POST_INDEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
922,1688,TS103,103,57,POST_DEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
923,1689,TS104,104,20,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
924,1690,TS105,105,29,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
925,1691,TS106,106,37,POST_INDEPENDENT,"27",1,/* case when (ePeriodId1 = iPeriodId) then */ value1 /* when (ePeriodId1 > iPeriodId) then */ value2 /* else */ 0 /* end */,curr_period_vs_roll_period_1,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
926,1692,TS107,107,45,POST_INDEPENDENT,"63",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
927,1693,TS108,108,66,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
928,1694,TS109,109,74,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
